quilate,cor,clareza,certificado,preco,vs1,vs2,vvs1,vvs2,dcor,cert_gia,cert_igi
0.3000000119209289,E,VS1,GIA,1510,1,0,0,0,1,1,0
0.3000000119209289,G,VVS1,GIA,1510,0,0,1,0,0,1,0
0.3000000119209289,G,VS1,GIA,1260,1,0,0,0,0,1,0
0.3100000023841858,D,VS1,GIA,1641,1,0,0,0,1,1,0
0.3100000023841858,E,VS1,GIA,1555,1,0,0,0,1,1,0
0.3100000023841858,F,VS1,GIA,1427,1,0,0,0,1,1,0
0.3100000023841858,G,VVS2,GIA,1427,0,0,0,1,0,1,0
0.3100000023841858,H,VS2,GIA,1126,0,1,0,0,0,1,0
0.3100000023841858,I,VS1,GIA,1126,1,0,0,0,0,1,0
0.3199999928474426,F,VS1,GIA,1468,1,0,0,0,1,1,0
0.3199999928474426,G,VS2,GIA,1202,0,1,0,0,0,1,0
0.3300000131130218,E,VS2,GIA,1327,0,1,0,0,1,1,0
0.3300000131130218,I,VS2,GIA,1098,0,1,0,0,0,1,0
0.3400000035762787,E,VS1,GIA,1693,1,0,0,0,1,1,0
0.3400000035762787,F,VS1,GIA,1551,1,0,0,0,1,1,0
0.3400000035762787,G,VS1,GIA,1410,1,0,0,0,0,1,0
0.3400000035762787,G,VS2,GIA,1269,0,1,0,0,0,1,0
0.3400000035762787,H,VS1,GIA,1316,1,0,0,0,0,1,0
0.3400000035762787,H,VS2,GIA,1222,0,1,0,0,0,1,0
0.3499999940395355,E,VS1,GIA,1738,1,0,0,0,1,1,0
0.3499999940395355,F,VS1,GIA,1593,1,0,0,0,1,1,0
0.3499999940395355,G,VS1,GIA,1447,1,0,0,0,0,1,0
0.3499999940395355,H,VS2,GIA,1255,0,1,0,0,0,1,0
0.3600000143051147,F,VS1,GIA,1635,1,0,0,0,1,1,0
0.3600000143051147,H,VVS2,GIA,1485,0,0,0,1,0,1,0
0.3700000047683716,F,VS2,GIA,1420,0,1,0,0,1,1,0
0.3700000047683716,H,VS1,GIA,1420,1,0,0,0,0,1,0
0.4000000059604645,F,VS1,GIA,1911,1,0,0,0,1,1,0
0.4000000059604645,H,VS1,GIA,1525,1,0,0,0,0,1,0
0.4099999964237213,F,VS1,GIA,1956,1,0,0,0,1,1,0
0.4300000071525574,H,VVS2,GIA,1747,0,0,0,1,0,1,0
0.449999988079071,I,VS1,GIA,1572,1,0,0,0,0,1,0
0.4600000083446502,E,VVS2,GIA,2942,0,0,0,1,1,1,0
0.4799999892711639,G,VVS2,GIA,2532,0,0,0,1,0,1,0
0.5,E,VS1,GIA,3501,1,0,0,0,1,1,0
0.5,E,VS1,GIA,3501,1,0,0,0,1,1,0
0.5,F,VVS2,GIA,3501,0,0,0,1,1,1,0
0.5,F,VS1,GIA,3293,1,0,0,0,1,1,0
0.5,G,VS1,GIA,3016,1,0,0,0,0,1,0
0.5099999904632568,F,VVS2,GIA,3567,0,0,0,1,1,1,0
0.5099999904632568,G,VS1,GIA,3205,1,0,0,0,0,1,0
0.5199999809265137,D,VS2,GIA,3490,0,1,0,0,1,1,0
0.5199999809265137,E,VS1,GIA,3635,1,0,0,0,1,1,0
0.5199999809265137,F,VVS2,GIA,3635,0,0,0,1,1,1,0
0.5199999809265137,F,VS1,GIA,3418,1,0,0,0,1,1,0
0.5299999713897705,D,VS1,GIA,3921,1,0,0,0,1,1,0
0.5299999713897705,F,VVS2,GIA,3701,0,0,0,1,1,1,0
0.5299999713897705,F,VS1,GIA,3480,1,0,0,0,1,1,0
0.5299999713897705,G,VVS2,GIA,3407,0,0,0,1,0,1,0
0.5400000214576721,E,VS1,GIA,3767,1,0,0,0,1,1,0
0.5400000214576721,F,VVS1,GIA,4066,0,0,1,0,1,1,0
0.550000011920929,E,VVS2,GIA,4138,0,0,0,1,1,1,0
0.550000011920929,F,VS1,GIA,3605,1,0,0,0,1,1,0
0.550000011920929,G,VVS2,GIA,3529,0,0,0,1,0,1,0
0.5600000023841858,F,VS1,GIA,3667,1,0,0,0,1,1,0
0.5600000023841858,I,VVS2,GIA,2892,0,0,0,1,0,1,0
0.5699999928474426,G,VVS2,GIA,3651,0,0,0,1,0,1,0
0.5899999737739563,G,VVS2,GIA,3773,0,0,0,1,0,1,0
0.6000000238418579,F,VS1,GIA,4291,1,0,0,0,1,1,0
0.6200000047683716,E,VVS1,GIA,5845,0,0,1,0,1,1,0
0.6299999952316284,G,VVS2,GIA,4401,0,0,0,1,0,1,0
0.6399999856948853,G,VVS1,GIA,4759,0,0,1,0,0,1,0
0.6600000262260437,H,VVS1,GIA,4300,0,0,1,0,0,1,0
0.699999988079071,F,VS1,GIA,5510,1,0,0,0,1,1,0
0.699999988079071,G,VS1,GIA,5122,1,0,0,0,0,1,0
0.699999988079071,H,VVS2,GIA,5122,0,0,0,1,0,1,0
0.699999988079071,I,VS2,GIA,3861,0,1,0,0,0,1,0
0.7099999785423279,F,VVS2,GIA,5881,0,0,0,1,1,1,0
0.7099999785423279,F,VS1,GIA,5586,1,0,0,0,1,1,0
0.7099999785423279,F,VS2,GIA,5193,0,1,0,0,1,1,0
0.7099999785423279,H,VVS2,GIA,5193,0,0,0,1,0,1,0
0.7200000286102295,F,VS2,GIA,5263,0,1,0,0,1,1,0
0.800000011920929,I,VVS2,GIA,5441,0,0,0,1,0,1,0
0.8199999928474426,I,VS2,GIA,4948,0,1,0,0,0,1,0
0.8399999737739563,H,VS2,GIA,5705,0,1,0,0,0,1,0
0.8500000238418579,F,VS2,GIA,6805,0,1,0,0,1,1,0
0.8600000143051147,H,VVS2,GIA,6882,0,0,0,1,0,1,0
0.8899999856948853,H,VS1,GIA,6709,1,0,0,0,0,1,0
0.8999999761581421,I,VVS2,GIA,6682,0,0,0,1,0,1,0
0.5,E,VS1,GIA,3501,1,0,0,0,1,1,0
0.5,G,VVS1,GIA,3432,0,0,1,0,0,1,0
0.5099999904632568,F,VVS1,GIA,3851,0,0,1,0,1,1,0
0.550000011920929,H,IF,GIA,3605,0,0,0,0,0,1,0
0.5600000023841858,E,VS1,GIA,3900,1,0,0,0,1,1,0
0.5699999928474426,H,VVS1,GIA,3415,0,0,1,0,0,1,0
0.6000000238418579,H,IF,GIA,4291,0,0,0,0,0,1,0
0.6299999952316284,E,IF,GIA,6512,0,0,0,0,1,1,0
0.699999988079071,E,VS1,GIA,5800,1,0,0,0,1,1,0
0.699999988079071,F,VVS1,GIA,6285,0,0,1,0,1,1,0
0.699999988079071,F,VS2,GIA,5122,0,1,0,0,1,1,0
0.699999988079071,F,VS2,GIA,5122,0,1,0,0,1,1,0
0.699999988079071,G,VS1,GIA,5122,1,0,0,0,0,1,0
0.699999988079071,H,VVS2,GIA,5122,0,0,0,1,0,1,0
0.7099999785423279,D,VS1,GIA,6372,1,0,0,0,1,1,0
0.7099999785423279,E,VS1,GIA,5881,1,0,0,0,1,1,0
0.7099999785423279,H,VVS2,GIA,5193,0,0,0,1,0,1,0
0.7200000286102295,E,VS1,GIA,5961,1,0,0,0,1,1,0
0.7200000286102295,H,VVS1,GIA,5662,0,0,1,0,0,1,0
0.7300000190734863,E,VS2,GIA,5738,0,1,0,0,1,1,0
0.7300000190734863,H,VS1,GIA,5030,1,0,0,0,0,1,0
0.7300000190734863,H,VS1,GIA,5030,1,0,0,0,0,1,0
