y,x2,x3,x4,x5,x6,x7,x8
180.22999572753903,2.0,4.0,4.0,1.2599999904632568,1,6,6
182.6100006103516,3.0,1.5800000429153442,40.0,1.25,1,5,5
199.9199981689453,5.300000190734863,1.6699999570846558,42.5,7.789999961853027,3,25,25
284.54998779296875,7.0,2.369999885559082,168.0,1.0,1,7,8
267.3800048828125,16.5,8.25,168.0,1.1200000047683716,2,19,19
164.3800048828125,16.600000381469727,23.780000686645508,40.0,1.0,1,13,13
999.0900268554688,25.88999938964844,3.0,40.0,0.0,3,36,36
931.8400268554688,31.920000076293945,40.79999923706055,168.0,5.519999980926514,6,47,47
944.2100219726562,39.630001068115234,50.86000061035156,40.0,27.3700008392334,10,77,77
1103.239990234375,44.41999816894531,159.75,168.0,0.6000000238418579,18,48,48
1387.8199462890625,54.47999954223633,207.0800018310547,40.0,7.769999980926514,6,66,66
1489.5,56.630001068115234,373.4200134277344,168.0,6.03000020980835,4,36,37
1845.8900146484373,95.0,368.0,168.0,30.26000022888184,9,292,196
1891.699951171875,96.66999816894533,206.6699981689453,168.0,17.860000610351562,14,120,120
1880.8399658203125,96.83000183105467,677.3300170898438,168.0,20.309999465942383,10,302,210
2268.06005859375,97.33000183105467,255.0800018310547,168.0,19.0,6,165,130
3036.6298828125,102.33000183105467,288.8299865722656,168.0,21.01000022888184,14,131,131
2628.320068359375,110.23999786376952,410.0,168.0,20.049999237060547,12,115,115
3559.919921875,113.87999725341795,981.0,168.0,24.479999542236328,6,166,179
2227.760009765625,134.32000732421875,145.82000732421875,168.0,25.989999771118164,12,192,192
3115.2900390625,149.5800018310547,233.8300018310547,168.0,31.06999969482422,14,185,202
4804.240234375,188.7400054931641,937.0,168.0,45.43999862670898,26,237,237
5539.97998046875,274.9200134277344,695.25,168.0,46.630001068115234,58,363,363
8266.76953125,384.5,1473.6600341796875,168.0,7.360000133514404,24,540,453
3534.489990234375,811.0800170898438,714.3300170898438,168.0,22.76000022888184,17,242,242
